Bairros,Valores,Quartos,Suítes,Vagas,Tamanho,Tipo
Escola Agrícola,380000.0,2.0,0.0,2.0,80.0,Casa
Velha,480000.0,3.0,1.0,0.0,131.0,Casa
Victor Konder,375000.0,2.0,1.0,1.0,124.0,Apartamento
Salto Weissbach,420000.0,2.0,0.0,2.0,74.0,Casa
Valparaiso,400000.0,5.0,0.0,3.0,200.0,Casa
Água Verde,685000.0,3.0,1.0,2.0,151.0,Casa
Itoupava Seca,1280000.0,4.0,1.0,4.0,235.0,Casa
Escola Agrícola,550000.0,2.0,1.0,2.0,100.0,Apartamento
Água Verde,479000.0,3.0,1.0,2.0,80.5,Apartamento
Velha,550000.0,5.0,1.0,3.0,210.0,Casa
Água Verde,1350000.0,3.0,1.0,4.0,398.0,Casa
Fortaleza,1100000.0,3.0,1.0,2.0,260.0,Casa
Centro,990000.0,3.0,3.0,4.0,205.0,Casa
Velha,750000.0,3.0,1.0,2.0,136.0,Casa
Salto,680000.0,3.0,2.0,2.0,286.0,Casa
Velha,430000.0,2.0,0.0,1.0,65.0,Apartamento
Victor Konder,580000.0,2.0,1.0,2.0,95.0,Apartamento
Água Verde,400000.0,2.0,1.0,2.0,89.0,Casa
Itoupava Central,495000.0,3.0,1.0,2.0,190.0,Casa
Água Verde,380000.0,3.0,1.0,1.0,88.0,Apartamento
Velha,614999.0,3.0,1.0,2.0,86.0,Apartamento
Jardim Blumenau,2280000.0,4.0,4.0,4.0,259.0,Apartamento
Itoupavazinha,565000.0,3.0,1.0,0.0,125.0,Casa
Itoupava Norte,319000.0,3.0,1.0,1.0,82.0,Apartamento
Jardim Blumenau,950000.0,3.0,1.0,2.0,107.0,Apartamento
Vila Nova,422000.0,2.0,1.0,1.0,70.0,Apartamento
Jardim Blumenau,1850000.0,3.0,3.0,3.0,175.0,Apartamento
Centro,895000.0,3.0,1.0,2.0,204.0,Apartamento
Vila Nova,990000.0,3.0,3.0,2.0,139.0,Apartamento
Água Verde,1100000.0,3.0,1.0,3.0,184.0,Casa
Vorstadt,580000.0,3.0,1.0,6.0,109.0,Casa
Jardim Blumenau,1100000.0,3.0,3.0,3.0,118.0,Apartamento
Itoupava Seca,340000.0,2.0,0.0,1.0,50.0,Apartamento
Velha Central,340000.0,2.0,1.0,1.0,65.2,Apartamento
Fortaleza,319000.0,2.0,2.0,1.0,83.0,Casa
Escola Agrícola,340000.0,2.0,1.0,1.0,63.0,Apartamento
Salto Norte,599000.0,3.0,1.0,2.0,169.0,Casa
Itoupava Seca,398000.0,1.0,0.0,1.0,50.0,Apartamento
Água Verde,379000.0,2.0,1.0,1.0,69.8,Apartamento
Victor Konder,550000.0,3.0,1.0,1.0,166.0,Apartamento
