Bairros;Valores;Informações;Descricao
"Blumenau, Escola Agrícola
Cód.: 1807";R$ 380.000,00;"2 quartos
2 vagas
80,0 m²";Casa no Bairro Escola Agrícola em Blumenau com 2 Dormitórios e 80 m² - 1807
"Blumenau, Velha
Cód.: 2007";R$ 480.000,00;"3 quartos
1 suíte
131,0 m²";Casa no Bairro Velha em Blumenau com 3 Dormitórios (1 suíte) e 131 m² - 2007
"Blumenau, Victor Konder
Cód.: 3478924";R$ 375.000,00;"2 quartos
1 suíte
1 vaga
124,0 m²";Apartamento no Bairro Victor Konder em Blumenau com 2 Dormitórios (1 suíte) e 124 m² - 3478924
"Blumenau, Salto Weissbach
Cód.: CA0133";R$ 420.000,00;"2 quartos
2 vagas
74,0 m²";Casa no Bairro Salto Weissbach em Blumenau com 2 Dormitórios e 74 m² - CA0133
"Blumenau, Valparaiso
Cód.: 609";R$ 400.000,00;"5 quartos
3 vagas
200,0 m²";Casa no Bairro Valparaiso em Blumenau com 5 Dormitórios e 200 m² - 609
"Blumenau, Água Verde
Cód.: 2038";R$ 685.000,00;"3 quartos
1 suíte
2 vagas
151,0 m²";Casa no Bairro Água Verde em Blumenau com 3 Dormitórios (1 suíte) e 151 m² - 2038
"Blumenau, Itoupava Seca
Cód.: B-85";R$ 1.280.000,00;"4 quartos
1 suíte
4 vagas
235,0 m²";Casa no Bairro Itoupava Seca em Blumenau com 4 Dormitórios (1 suíte) e 235 m² - B-85
"Blumenau, Escola Agrícola
Cód.: 1941";R$ 550.000,00;"2 quartos
1 suíte
2 vagas
100,0 m²";Apartamento no Bairro Escola Agrícola em Blumenau com 2 Dormitórios (1 suíte) e 100 m² - 1941
"Blumenau, Água Verde
Cód.: 6290427";R$ 479.000,00;"3 quartos
1 suíte
2 vagas
80,5 m²";Apartamento no Bairro Água Verde em Blumenau com 3 Dormitórios (1 suíte) e 80.51 m² - 6290427
"Blumenau, Velha
Cód.: 520";R$ 550.000,00;"5 quartos
1 suíte
3 vagas
210,0 m²";Casa no Bairro Velha em Blumenau com 5 Dormitórios (1 suíte) e 210 m² - 520
"Blumenau, Água Verde
Cód.: CA0188";R$ 1.350.000,00;"3 quartos
1 suíte
4 vagas
398,0 m²";Casa no Bairro Água Verde em Blumenau com 3 Dormitórios (1 suíte) e 398 m² - CA0188
"Blumenau, Fortaleza
Cód.: 698";R$ 1.100.000,00;"3 quartos
1 suíte
2 vagas
260,0 m²";Casa no Bairro Fortaleza em Blumenau com 3 Dormitórios (1 suíte) e 260 m² - 698
"Blumenau, Centro
Cód.: 6301";R$ 990.000,00;"3 quartos
3 suítes
4 vagas
205,0 m²";Casa no Bairro Centro em Blumenau com 3 Dormitórios (3 suítes) e 205 m² - 6301
